commune;secteur;insee;cx;cy;source
L'AIGUILLON-SUR-MER;2;85001;-1.27;46.3;polygon
L'AIGUILLON-SUR-VIE;1;85002;-1.83;46.67;polygon
AIZENAY;1;85003;-1.63;46.74;polygon
ANGLES;1;85004;-1.4;46.39;polygon
ANTIGNY;3;85005;-0.76;46.61;polygon
APREMONT;1;85006;-1.75;46.76;polygon
AUBIGNY;3;85008;173.81;220.08;path(min)
AUZAY;3;85009;298.28;282.95;path(min)
AVRILLE;1;85010;-1.5;46.47;polygon
BARBATRE;1;85011;-2.17;46.93;polygon
LA BARRE-DE-MONTS;1;85012;-2.09;46.87;polygon
BAZOGES-EN-PAILLERS;2;85013;-1.15;46.92;polygon
BAZOGES-EN-PAREDS;3;85014;-0.92;46.66;polygon
BEAUFOU;1;85015;-1.51;46.82;polygon
BEAULIEU-SOUS-LA-ROCHE;1;85016;-1.63;46.69;polygon
BEAUREPAIRE;2;85017;-1.1;46.91;polygon
BEAUVOIR-SUR-MER;1;85018;-2.06;46.9;polygon
BELLEVILLE-SUR-VIE;3;85019;188.99;171.1;path(min)
BENET;3;85020;-0.61;46.37;polygon
LA BERNARDIERE;2;85021;-1.27;47.04;polygon
LE BERNARD;1;85022;-1.44;46.45;polygon
BESSAY;2;85023;-1.17;46.54;polygon
BOIS-DE-CENE;1;85024;-1.89;46.95;polygon
LA BOISSIERE-DE-MONTAIGU;2;85025;-1.19;46.95;polygon
LA BOISSIERE-DES-LANDES;1;85026;-1.44;46.56;polygon
BOUFFERE;3;85027;202.97;106.54;path(min)
BOUILLE-COURDAULT;3;85028;-0.68;46.38;polygon
BOUIN;1;85029;-2.01;46.98;polygon
BOULOGNE;3;85030;226.52;170.29;path(min)
LE BOUPERE;3;85031;-0.93;46.79;polygon
BOURNEAU;3;85033;-0.81;46.55;polygon
BOURNEZEAU;2;85034;-1.14;46.63;polygon
BRETIGNOLLES-SUR-MER;1;85035;-1.87;46.63;polygon
LA BRETONNIERE-LA-CLAYE;2;85036;-1.26;46.49;polygon
BREUIL-BARRET;3;85037;-0.68;46.65;polygon
LES BROUZILS;2;85038;-1.34;46.89;polygon
LA BRUFFIERE;2;85039;-1.18;47.01;polygon
LA CAILLERE-SAINT-HILAIRE;3;85040;-0.93;46.63;polygon
CEZAIS;3;85041;-0.8;46.59;polygon
CHAILLE-LES-MARAIS;2;85042;-1.01;46.39;polygon
CHAILLE-SOUS-LES-ORMEAUX;3;85043;198.1;227.63;path(min)
LA CHAIZE-GIRAUD;1;85045;-1.82;46.65;polygon
LA CHAIZE-LE-VICOMTE;2;85046;-1.28;46.67;polygon
CHALLANS;3;85047;-1.84;46.83;polygon
CHAMBRETAUD;3;85048;272.16;116.75;path(min)
CHAMPAGNE-LES-MARAIS;2;85049;-1.13;46.37;polygon
LE CHAMP-SAINT-PERE;2;85050;-1.34;46.51;polygon
CHANTONNAY;2;85051;-1.04;46.67;polygon
LA CHAPELLE-ACHARD;3;85052;142.87;230.78;path(min)
LA CHAPELLE-AUX-LYS;3;85053;-0.65;46.62;polygon
LA CHAPELLE-HERMIER;1;85054;-1.72;46.68;polygon
LA CHAPELLE-PALLUAU;1;85055;-1.62;46.79;polygon
LA CHAPELLE-THEMER;2;85056;-0.96;46.57;polygon
CHASNAIS;2;85058;-1.24;46.44;polygon
LA CHATAIGNERAIE;3;85059;-0.74;46.64;polygon
CHATEAU-D'OLONNE;3;85060;95.47;242.06;path(min)
CHATEAU-GUIBERT;2;85061;-1.26;46.58;polygon
CHATEAUNEUF;1;85062;-1.92;46.92;polygon
LES CHATELLIERS-CHATEAUMUR;3;85063;305.36;149.57;path(min)
CHAUCHE;2;85064;-1.27;46.83;polygon
CHAVAGNES-EN-PAILLERS;2;85065;-1.23;46.89;polygon
CHAVAGNES-LES-REDOUX;3;85066;-0.92;46.71;polygon
CHEFFOIS;3;85067;-0.78;46.68;polygon
COEX;1;85070;-1.75;46.71;polygon
COMMEQUIERS;1;85071;-1.82;46.77;polygon
LA COPECHAGNIERE;2;85072;-1.34;46.85;polygon
CORPE;2;85073;-1.17;46.51;polygon
LA COUTURE;2;85074;-1.27;46.52;polygon
CUGAND;2;85076;-1.25;47.06;polygon
CURZON;2;85077;-1.31;46.45;polygon
DAMVIX;3;85078;-0.75;46.32;polygon
DOIX;3;85080;313.3;290.57;path(min)
DOMPIERRE-SUR-YON;1;85081;-1.38;46.76;polygon
LES EPESSES;3;85082;-0.9;46.89;polygon
L'EPINE;1;85083;-2.27;46.98;polygon
FALLERON;1;85086;-1.7;46.86;polygon
FAYMOREAU;3;85087;-0.63;46.54;polygon
LE FENOUILLER;1;85088;-1.9;46.72;polygon
LA FERRIERE;2;85089;-1.33;46.72;polygon
FONTENAY-LE-COMTE;3;85092;-0.79;46.46;polygon
FOUGERE;2;85093;-1.24;46.67;polygon
FOUSSAIS-PAYRE;3;85094;-0.69;46.52;polygon
FROIDFOND;1;85095;-1.76;46.88;polygon
LA GARNACHE;1;85096;-1.82;46.9;polygon
LA GAUBRETIERE;2;85097;-1.05;46.93;polygon
LA GENETOUZE;1;85098;-1.51;46.72;polygon
LE GIROUARD;1;85099;-1.59;46.57;polygon
GIVRAND;1;85100;-1.88;46.68;polygon
LE GIVRE;1;85101;-1.4;46.47;polygon
GRAND'LANDES;1;85102;-1.64;46.84;polygon
GROSBREUIL;1;85103;-1.59;46.54;polygon
GRUES;2;85104;-1.32;46.38;polygon
LE GUE-DE-VELLUIRE;3;85105;-0.91;46.37;polygon
LA GUERINIERE;1;85106;-2.23;46.97;polygon
L'HERBERGEMENT;2;85108;-1.37;46.92;polygon
LES HERBIERS;2;85109;-1.03;46.86;polygon
L'HERMENAULT;3;85110;-0.89;46.52;polygon
L'ILE-D'ELLE;3;85111;-0.92;46.34;polygon
L'ILE-D'OLONNE;1;85112;-1.78;46.57;polygon
L'ILE-D'YEU;1;85113;-2.34;46.71;polygon
JARD-SUR-MER;1;85114;-1.61;46.43;polygon
LA JAUDONNIERE;2;85115;-0.96;46.65;polygon
LA JONCHERE;1;85116;-1.38;46.44;polygon
LAIROUX;2;85117;-1.27;46.45;polygon
LANDERONDE;1;85118;-1.57;46.65;polygon
LES LANDES-GENUSSON;2;85119;-1.13;46.97;polygon
LANDEVIEILLE;1;85120;-1.79;46.64;polygon
LE LANGON;3;85121;-0.94;46.44;polygon
LIEZ;3;85123;-0.7;46.37;polygon
LOGE-FOUGEREUSE;3;85125;-0.69;46.61;polygon
LONGEVES;3;85126;-0.86;46.47;polygon
LONGEVILLE-SUR-MER;1;85127;-1.48;46.41;polygon
LUCON;2;85128;-1.16;46.45;polygon
LES LUCS-SUR-BOULOGNE;1;85129;-1.49;46.85;polygon
MACHE;1;85130;-1.7;46.77;polygon
LES MAGNILS-REIGNIERS;2;85131;-1.21;46.46;polygon
MAILLE;3;85132;-0.78;46.34;polygon
MAILLEZAIS;3;85133;-0.75;46.36;polygon
MALLIEVRE;3;85134;-0.87;46.91;polygon
MAREUIL-SUR-LAY-DISSAIS;2;85135;-1.23;46.53;polygon
MARILLET;3;85136;-0.64;46.57;polygon
MARSAIS-SAINTE-RADEGONDE;3;85137;-0.87;46.54;polygon
MARTINET;1;85138;-1.68;46.66;polygon
LE MAZEAU;3;85139;-0.68;46.33;polygon
LA MEILLERAIE-TILLAY;3;85140;-0.85;46.74;polygon
MENOMBLET;3;85141;-0.73;46.73;polygon
LA MERLATIERE;2;85142;-1.3;46.75;polygon
MERVENT;3;85143;-0.75;46.53;polygon
MESNARD-LA-BAROTIERE;2;85144;-1.11;46.85;polygon
MONSIREIGNE;3;85145;-0.93;46.73;polygon
MONTOURNAIS;3;85147;-0.78;46.75;polygon
MONTREUIL;3;85148;-0.84;46.4;polygon
MOREILLES;2;85149;-1.1;46.42;polygon
MORMAISON;3;85150;191.37;130.66;path(min)
MORTAGNE-SUR-SEVRE;3;85151;-0.95;46.99;polygon
MOUCHAMPS;2;85153;-1.05;46.79;polygon
MOUILLERON-EN-PAREDS;3;85154;306.33;210.21;path(min)
MOUILLERON-LE-CAPTIF;1;85155;-1.46;46.71;polygon
MOUTIERS-LES-MAUXFAITS;1;85156;-1.43;46.49;polygon
MOUTIERS-SUR-LE-LAY;2;85157;-1.17;46.56;polygon
MOUZEUIL-SAINT-MARTIN;2;85158;-0.98;46.45;polygon
NALLIERS;2;85159;-1.04;46.46;polygon
NESMY;1;85160;-1.41;46.59;polygon
NIEUL-LE-DOLENT;1;85161;-1.51;46.57;polygon
NIEUL-SUR-L'AUTISE;3;85162;343.54;281.97;path(min)
NOIRMOUTIER-EN-L'ILE;1;85163;-2.26;47.01;polygon
NOTRE-DAME-DE-MONTS;1;85164;-2.1;46.84;polygon
L'ORBRIE;3;85167;-0.77;46.5;polygon
PALLUAU;1;85169;-1.6;46.81;polygon
PEAULT;2;85171;-1.23;46.5;polygon
LE PERRIER;1;85172;-1.97;46.81;polygon
PETOSSE;3;85174;-0.91;46.48;polygon
LES PINEAUX;2;85175;-1.17;46.6;polygon
PISSOTTE;3;85176;-0.81;46.5;polygon
LE POIRE-SUR-VELLUIRE;3;85177;294.05;287.91;path(min)
LE POIRE-SUR-VIE;1;85178;-1.5;46.77;polygon
POIROUX;1;85179;-1.54;46.51;polygon
POUILLE;2;85181;-0.96;46.5;polygon
POUZAUGES;3;85182;-0.82;46.78;polygon
PUY-DE-SERRE;3;85184;-0.68;46.56;polygon
PUYRAVAULT;2;85185;-1.1;46.36;polygon
LA RABATELIERE;2;85186;-1.26;46.86;polygon
REAUMUR;3;85187;-0.81;46.71;polygon
LA REORTHE;2;85188;-1.05;46.61;polygon
NOTRE-DAME-DE-RIEZ;1;85189;-1.9;46.75;polygon
ROCHESERVIERE;1;85190;-1.5;46.92;polygon
LA ROCHE-SUR-YON;3;85191;-1.42;46.67;polygon
ROCHETREJOUX;2;85192;-1.0;46.79;polygon
ROSNAY;2;85193;-1.31;46.53;polygon
SAINT-ANDRE-GOULE-D'OIE;2;85196;-1.2;46.84;polygon
SAINT-AUBIN-DES-ORMEAUX;2;85198;-1.04;46.99;polygon
SAINT-AUBIN-LA-PLAINE;2;85199;-1.07;46.5;polygon
SAINT-AVAUGOURD-DES-LANDES;1;85200;-1.47;46.51;polygon
SAINT-BENOIST-SUR-MER;2;85201;-1.34;46.42;polygon
SAINTE-CECILE;2;85202;-1.12;46.73;polygon
SAINT-CHRISTOPHE-DU-LIGNERON;1;85204;-1.74;46.81;polygon
SAINT-CYR-DES-GATS;3;85205;-0.86;46.57;polygon
SAINT-CYR-EN-TALMONDAIS;2;85206;-1.33;46.46;polygon
SAINT-DENIS-DU-PAYRE;2;85207;-1.28;46.41;polygon
SAINT-DENIS-LA-CHEVASSE;1;85208;-1.38;46.83;polygon
SAINT-ETIENNE-DE-BRILLOUET;2;85209;-1.01;46.51;polygon
SAINT-ETIENNE-DU-BOIS;1;85210;-1.59;46.84;polygon
SAINTE-FLAIVE-DES-LOUPS;1;85211;-1.58;46.61;polygon
SAINTE-FOY;1;85214;-1.7;46.53;polygon
SAINT-FULGENT;2;85215;-1.16;46.87;polygon
SAINTE-GEMME-LA-PLAINE;2;85216;-1.11;46.47;polygon
SAINT-GEORGES-DE-POINTINDOUX;1;85218;-1.63;46.64;polygon
SAINT-GERMAIN-DE-PRINCAY;2;85220;-1.04;46.73;polygon
SAINT-GERVAIS;1;85221;-1.98;46.93;polygon
SAINT-GILLES-CROIX-DE-VIE;1;85222;-1.92;46.69;polygon
SAINTE-HERMINE;2;85223;-1.07;46.56;polygon
SAINT-HILAIRE-DE-RIEZ;1;85226;-1.98;46.75;polygon
SAINT-HILAIRE-DES-LOGES;3;85227;-0.65;46.48;polygon
SAINT-HILAIRE-DE-VOUST;3;85229;-0.65;46.59;polygon
SAINT-HILAIRE-LA-FORET;1;85231;-1.53;46.45;polygon
SAINT-HILAIRE-LE-VOUHIS;2;85232;-1.16;46.68;polygon
SAINT-JEAN-DE-BEUGNE;2;85233;-1.11;46.52;polygon
SAINT-JEAN-DE-MONTS;1;85234;-2.05;46.8;polygon
SAINT-JUIRE-CHAMPGILLON;2;85235;-1.0;46.59;polygon
SAINT-JULIEN-DES-LANDES;1;85236;-1.72;46.64;polygon
SAINT-LAURENT-DE-LA-SALLE;3;85237;-0.92;46.59;polygon
SAINT-LAURENT-SUR-SEVRE;3;85238;-0.9;46.95;polygon
SAINT-MAIXENT-SUR-VIE;1;85239;-1.83;46.73;polygon
SAINT-MALO-DU-BOIS;3;85240;-0.91;46.93;polygon
SAINT-MARS-LA-REORTHE;3;85242;-0.93;46.86;polygon
BREM-SUR-MER;1;85243;-1.81;46.61;polygon
SAINT-MARTIN-DE-FRAIGNEAU;3;85244;-0.76;46.43;polygon
SAINT-MARTIN-DES-FONTAINES;3;85245;-0.91;46.55;polygon
SAINT-MARTIN-DES-NOYERS;2;85246;-1.2;46.72;polygon
SAINT-MARTIN-DES-TILLEULS;2;85247;-1.06;46.97;polygon
SAINT-MARTIN-LARS-EN-SAINTE-HERMINE;2;85248;-0.98;46.6;polygon
SAINT-MATHURIN;1;85250;-1.71;46.57;polygon
SAINT-MAURICE-DES-NOUES;3;85251;-0.72;46.6;polygon
SAINT-MAURICE-LE-GIRARD;3;85252;-0.81;46.64;polygon
SAINT-MESMIN;3;85254;-0.75;46.8;polygon
SAINT-MICHEL-EN-L'HERM;2;85255;-1.25;46.34;polygon
SAINT-MICHEL-LE-CLOUCQ;3;85256;-0.75;46.49;polygon
SAINT-PAUL-EN-PAREDS;2;85259;-0.97;46.83;polygon
SAINT-PAUL-MONT-PENIT;1;85260;-1.67;46.81;polygon
SAINTE-PEXINE;2;85261;-1.12;46.56;polygon
SAINT-PHILBERT-DE-BOUAINE;1;85262;-1.51;46.99;polygon
SAINT-PIERRE-DU-CHEMIN;3;85264;-0.71;46.7;polygon
SAINT-PIERRE-LE-VIEUX;3;85265;-0.74;46.4;polygon
SAINT-PROUANT;2;85266;-0.97;46.75;polygon
SAINTE-RADEGONDE-DES-NOYERS;2;85267;-1.07;46.38;polygon
SAINT-REVEREND;1;85268;-1.84;46.71;polygon
SAINT-SIGISMOND;3;85269;-0.71;46.34;polygon
SAINT-SULPICE-EN-PAREDS;3;85271;-0.83;46.61;polygon
SAINT-URBAIN;1;85273;-2.0;46.88;polygon
SAINT-VALERIEN;3;85274;-0.95;46.54;polygon
SAINT-VINCENT-STERLANGES;2;85276;-1.08;46.74;polygon
SAINT-VINCENT-SUR-GRAON;1;85277;-1.38;46.5;polygon
SAINT-VINCENT-SUR-JARD;1;85278;-1.55;46.43;polygon
SALLERTAINE;1;85280;-1.96;46.87;polygon
SERIGNE;3;85281;-0.85;46.51;polygon
SIGOURNAIS;2;85282;-0.99;46.71;polygon
SOULLANS;1;85284;-1.91;46.79;polygon
LE TABLIER;2;85285;-1.33;46.56;polygon
LA TAILLEE;3;85286;-0.94;46.39;polygon
TALLUD-SAINTE-GEMME;3;85287;-0.9;46.7;polygon
TALMONT-SAINT-HILAIRE;1;85288;-1.63;46.48;polygon
LA TARDIERE;3;85289;-0.73;46.66;polygon
THIRE;2;85290;-1.01;46.54;polygon
THORIGNY;2;85291;-1.25;46.62;polygon
THOUARSAIS-BOUILDROUX;3;85292;-0.87;46.61;polygon
TIFFAUGES;2;85293;-1.1;47.0;polygon
LA TRANCHE-SUR-MER;1;85294;-1.42;46.36;polygon
TREIZE-SEPTIERS;2;85295;-1.23;47.0;polygon
TREIZE-VENTS;3;85296;-0.85;46.92;polygon
TRIAIZE;2;85297;-1.2;46.38;polygon
VAIRE;1;85298;-1.75;46.6;polygon
VENANSAULT;1;85300;-1.54;46.68;polygon
VENDRENNES;2;85301;-1.12;46.82;polygon
VIX;3;85303;-0.85;46.35;polygon
VOUILLE-LES-MARAIS;2;85304;-0.96;46.39;polygon
VOUVANT;3;85305;-0.76;46.56;polygon
XANTON-CHASSENON;3;85306;-0.7;46.45;polygon
LA FAUTE-SUR-MER;2;85307;-1.32;46.32;polygon
